ID,sample_code,sample_type,month,sample_id,Well
39,BESC22_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_39,G08
39,BESC22_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_39,H08
40,BESC835_Corvallis_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_40,A09
40,BESC835_Corvallis_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_40,B09
43,BESC148_Clatskanie_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_43,C09
43,BESC148_Clatskanie_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_43,D09
44,BESC148_Clatskanie_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_44,E09
44,BESC148_Clatskanie_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_44,F09
45,BESC148_Clatskanie_R22_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_45,G09
45,BESC148_Clatskanie_R22_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_45,H09
47,D176_Clatskanie_R06_Aug_2019_RH_deltoides,RH,Aug,RHAug_47,A10
47,D176_Clatskanie_R06_Aug_2019_RH_deltoides,RH,Aug,RHAug_47,B10
48,GW9823_Clatskanie_R13_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_48,C10
48,GW9823_Clatskanie_R13_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_48,D10
50,BESC801_Clatskanie_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_50,E10
50,BESC801_Clatskanie_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_50,F10
51,BESC801_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_51,G10
51,BESC801_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_51,H10
