ID,sample_code,sample_type,month,sample_id,Well
13,BESC261_Corvallis_R06_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-13-redo2-ITS,B06
16,D176_Clatskanie_R11_Aug_2019_RH_deltoides,RH,Aug,RHAug-16-redo2-ITS,C06
16,D176_Clatskanie_R11_Aug_2019_RH_deltoides,RH,Aug,RHAug-16-redo2-ITS,D06
23,BESC103_Corvallis_R12_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-23-redo2-ITS,E06
23,BESC103_Corvallis_R12_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-23-redo2-ITS,F06
26,BESC261_Corvallis_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-26-redo2-ITS,G06
26,BESC261_Corvallis_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-26-redo2-ITS,H06
27,BESC22_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-27-redo2-ITS,A07
27,BESC22_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-27-redo2-ITS,B07
28,D411_Clatskanie_R26_Aug_2019_RH_deltoides,RH,Aug,RHAug-28-redo2-ITS,C07
28,D411_Clatskanie_R26_Aug_2019_RH_deltoides,RH,Aug,RHAug-28-redo2-ITS,D07
29,D176_Clatskanie_R17_Aug_2019_RH_deltoides,RH,Aug,RHAug-29-redo2-ITS,E07
29,D176_Clatskanie_R17_Aug_2019_RH_deltoides,RH,Aug,RHAug-29-redo2-ITS,F07
31,BESC801_Clatskanie_R44_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-31-redo2-ITS,G07
31,BESC801_Clatskanie_R44_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-31-redo2-ITS,H07
35,BESC103_Clatskanie_R41_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-35-redo2-ITS,A08
35,BESC103_Clatskanie_R41_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-35-redo2-ITS,B08
36,BESC103_Corvallis_R14_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-36-redo2-ITS,C08
36,BESC103_Corvallis_R14_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-36-redo2-ITS,D08
38,BESC261_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-38-redo2-ITS,E08
38,BESC261_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-38-redo2-ITS,F08
39,BESC22_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-39-redo2-ITS,G08
39,BESC22_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-39-redo2-ITS,H08
40,BESC835_Corvallis_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-40-redo2-ITS,A09
40,BESC835_Corvallis_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-40-redo2-ITS,B09
43,BESC148_Clatskanie_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-43-redo2-ITS,C09
43,BESC148_Clatskanie_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-43-redo2-ITS,D09
44,BESC148_Clatskanie_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-44-redo2-ITS,E09
44,BESC148_Clatskanie_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-44-redo2-ITS,F09
45,BESC148_Clatskanie_R22_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-45-redo2-ITS,G09
45,BESC148_Clatskanie_R22_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-45-redo2-ITS,H09
47,D176_Clatskanie_R06_Aug_2019_RH_deltoides,RH,Aug,RHAug-47-redo2-ITS,A10
47,D176_Clatskanie_R06_Aug_2019_RH_deltoides,RH,Aug,RHAug-47-redo2-ITS,B10
48,GW9823_Clatskanie_R13_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-48-redo2-ITS,C10
48,GW9823_Clatskanie_R13_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-48-redo2-ITS,D10
50,BESC801_Clatskanie_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-50-redo2-ITS,E10
50,BESC801_Clatskanie_R01_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-50-redo2-ITS,F10
51,BESC801_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-51-redo2-ITS,G10
51,BESC801_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-51-redo2-ITS,H10
